requirement_id,source_section,category,requirement,submission_required,confidence99_required,phd_defense_required,obligation_ids,closure_condition,derived_status,next_action
IMM-01,Immediate finding 1,normal saturation,"Check every embedding of every selected V in every relevant overgroup W, not one representative.",YES,YES,NO,COMP-K2,All embedding orbits are exhaustively enumerated and normally generate W.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
IMM-02,Immediate finding 1,normal saturation,Enumerate actual overgroups of a fixed V with IntermediateSubgroups.,YES,YES,NO,COMP-K2,The IntermediateSubgroups path is complete and fail-closed.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
IMM-03,Immediate finding 1,normal saturation,Enumerate every contained-conjugate orbit without the one-result flag.,YES,YES,NO,COMP-K2,The fixed builtin path returns and checks every W-orbit.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
IMM-04,Immediate finding 1,normal saturation,Require the actual-overgroup and contained-orbit methods to agree.,YES,YES,NO,COMP-K2,"Any count, fingerprint, or closure mismatch is fatal.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
IMM-05,Immediate finding 2,GAP trust,Pin a GAP source that contains the ContainedConjugates regression fix.,YES,YES,NO,COMP-ENV,Exact commit and source hash are locked and vanilla affected code is rejected.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
IMM-06,Immediate finding 2,GAP trust,Run the upstream multiple-contained-copy regression cases.,YES,YES,NO,COMP-ENV,Both exact regression cases pass before proof computations.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
IMM-07,Immediate finding 2,GAP trust,Independently bypass ContainedConjugates with a direct double-coset implementation.,YES,YES,NO,COMP-K2,The independent double-coset results equal both GAP paths.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
IMM-08,Immediate finding 3,sporadic methodology,Make the manuscript describe the same stability method the sporadic code uses.,YES,YES,NO,COMP-SPORADIC;MANUSCRIPT-CODE,Prose and certificate methodology agree exactly.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
IMM-09,Immediate finding 3,class identity,"Identify sporadic and finite subgroup classes by exact persistent class records, not order alone.",YES,YES,NO,COMP-SPORADIC;COMP-INDEPENDENT,Every witness carries an exact class position and fingerprint.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
IMM-10,Immediate finding 4,determinism,Remove random proof witnesses or replace them with fixed explicit constructions.,YES,YES,NO,DETERMINISM,Static and dynamic checks find no proof-essential random selection.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
IMM-11,Immediate finding 4,hard failure,"Exit nonzero on skipped, missing, ambiguous, failed, or inconsistent computations.",YES,YES,NO,DETERMINISM;MUTATIONS,Soft failure is forbidden and deliberate failures are detected.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
SUB-01,Submission threshold,adversarial audit,Archive at least two fresh hostile proof audits and route every verified finding.,YES,YES,NO,ADV-PROOF-AUDITS,Two independently produced reports exist and no finding is silently dismissed.,OPEN,"Run the archived adversarial-audit prompt in two fresh contexts, preserve full reports, validate independence, and route findings into this ledger."
SUB-02,Submission threshold,paper consistency,"Keep the manuscript, code, generated counts, and certificate methodology exactly aligned.",YES,YES,NO,MANUSCRIPT-CODE,"The manuscript checker reports no lexical, numeric, route, or methodology drift.",PASS,Retain the pinned evidence and rerun both gates after any relevant change.
SUB-03,Submission threshold,external structure,Pin the standard direct-power and wreath-embedding inputs used by the paper proof.,YES,YES,NO,SRC-REDUCTION-STRUCTURE,Exact theorem/page citations match all structural hypotheses.,OPEN,Locate and audit exact published pinpoints for characteristically-simple decomposition and Aut(S^k)=Aut(S) wr Sym(k).
G1-01,Gate 1,formal core,Kernel-check that Property P passes to quotients.,NO,YES,YES,RED-QUOT,The exact manuscript definition and quotient theorem build without axioms.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G1-02,Gate 1,formal core,Kernel-check the minimal-counterexample proper-quotient argument.,NO,YES,YES,RED-MIN,Every nontrivial proper quotient is proved soluble.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G1-03,Gate 1,formal core,Kernel-check absence of nontrivial soluble normal subgroups.,NO,YES,YES,RED-MIN,The extension argument is in the kernel-checked theorem.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G1-04,Gate 1,formal core,Kernel-check existence and uniqueness of the minimal normal subgroup.,NO,YES,YES,RED-MIN,Existence and uniqueness are exact theorem conclusions.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G1-05,Gate 1,formal core,"Kernel-check nonsolubility of N, solubility of G/N, and C_G(N)=1.",NO,YES,YES,RED-MIN,All three conclusions occur in the audited theorem statement.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G1-06,Gate 1,coordinate reduction,Kernel-check N is S^k for a nonabelian finite simple S.,NO,YES,YES,RED-COORD,A theorem constructs the direct-power description from the minimal-normal hypotheses.,OPEN,Formalize the finite characteristically-simple decomposition and bind it to Proposition 2.3.
G1-07,Gate 1,coordinate reduction,Kernel-check the faithful embedding G into Aut(S) wr Sym(k).,NO,YES,YES,RED-COORD,The exact embedding and action on factors are constructed.,OPEN,Formalize the conjugation embedding using the trivial-centralizer result.
G1-08,Gate 1,coordinate reduction,Kernel-check transitivity of the action on the k factors.,NO,YES,YES,RED-COORD,Nontransitivity contradicts minimal normality inside the theorem.,OPEN,Close every mapped obligation without weakening its statement or required evidence.
G1-09,Gate 1,coordinate reduction,Kernel-check the coordinate-closure normalization G <= X wr Sym(k).,NO,YES,YES,RED-COORD;RED-COORD-BOUND,The conjugating base element and normalized components are constructed with the inverse-source convention.,OPEN,Close every mapped obligation without weakening its statement or required evidence.
G1-09A,Gate 1,coordinate reduction,"Kernel-check the inverse-source wreath multiplication, transporter normalization, kernel preservation, and quotient-order divisor conditional on the published structural realization.",NO,YES,YES,RED-COORD-BOUND,The exact normalized-coordinate theorem builds and is axiom-audited while the external structural interface remains separately visible.,PASS,Retain the theorem and its explicit external-input boundary while closing SRC-REDUCTION-STRUCTURE and the remaining RED-COORD interface.
G1-10,Gate 1,coordinate reduction,Kernel-check |G/N| divides |X/Inn(S)|^k k!.,NO,YES,YES,RED-COORD;RED-COORD-BOUND,The quotient-order divisibility follows from a proved finite embedding/order argument.,OPEN,Close every mapped obligation without weakening its statement or required evidence.
G1-11,Gate 1,product supplements,Kernel-check existence of B_V=N_G(V^k).,NO,YES,YES,SUP-EXIST,The subgroup is constructed from normalized coordinate data.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G1-12,Gate 1,product supplements,Kernel-check B_V cap N=V^k and B_V N=G.,NO,YES,YES,SUP-EXIST,Intersection and supplement identities are theorem conclusions.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G1-13,Gate 1,product supplements,Kernel-check |B_V|=|G/N||V|^k.,NO,YES,YES,SUP-EXIST,The exact finite-cardinality theorem matches the manuscript.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G1-14,Gate 1,maximality,Kernel-check maximality from poset maximality and normal saturation.,NO,YES,YES,SUP-MAX,The exact ambient coatom theorem closes every overgroup.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G1-15,Gate 1,nonconjugacy,Kernel-check distinct stable classes yield nonconjugate B_V and B_W.,NO,YES,YES,SUP-NONCONJ,A hypothetical ambient conjugacy yields forbidden S-conjugacy.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G1-16,Gate 1,divisibility,Kernel-check the group-level factorization-to-prime-power divisibility bridge.,NO,YES,YES,DIV-GROUP,Property P and exact subgroup orders force p^(dk) to divide t.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G1-17,Gate 1,divisibility,Kernel-check the valuation contradiction for every k>=2.,NO,YES,YES,DIV-ARITH,The p-adic factorial inequality is universally quantified over k.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G1-18,Gate 1,formal hygiene,"Forbid sorry, admit, placeholders, and custom axioms.",NO,YES,NO,FORMAL-CLEAN,Static scan and AxiomAudit cover every claimed module.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
G1-19,Gate 1,formal hygiene,Lock the Lean toolchain and mathlib commit.,NO,YES,NO,FORMAL-CLEAN,A fresh locked build uses the recorded toolchain and manifest.,PASS,Retain the pinned evidence and rerun both gates after any relevant change.
