occurrence_id,token,tex_line,context_sha256,context,classification,obligation_ids,audit_note
UC-20695d548e726c06,maximal,47,b76e4f2d7b8f76ac3dc93a460f81359be0f7ff2c65c5bd72c5a3facc8271b86d,\title[Groups factorized by non-conjugate maximal subgroups]{Finite groups,METADATA-OR-DISCLOSURE,MANUSCRIPT-CODE,"Title, author metadata, or indexing vocabulary; checked for manuscript consistency."
UC-f5bfd8ce6fa662f5,every,48,6f7329692b1810f86b7f7d87422a021acbc7e5bc4d8c5ec6c38cd795485d6da5,that are the product of every pair of non-conjugate maximal subgroups are,METADATA-OR-DISCLOSURE,MANUSCRIPT-CODE,"Title, author metadata, or indexing vocabulary; checked for manuscript consistency."
UC-6838b5759897f093,maximal,48,6f7329692b1810f86b7f7d87422a021acbc7e5bc4d8c5ec6c38cd795485d6da5,that are the product of every pair of non-conjugate maximal subgroups are,METADATA-OR-DISCLOSURE,MANUSCRIPT-CODE,"Title, author metadata, or indexing vocabulary; checked for manuscript consistency."
UC-768c18e448873b56,maximal,59,1987d8fb72a9b34ca4b98f91b3027e9fe715b762e562565c27a115d94f103120,"\keywords{Factorizations of finite groups, maximal subgroups, soluble",METADATA-OR-DISCLOSURE,MANUSCRIPT-CODE,"Title, author metadata, or indexing vocabulary; checked for manuscript consistency."
UC-1a3fa70c785312dd,every,65,7fe2465dd303b01322d50fc1ad3e0142b67983c2bf25af12efbf339bfe578a60,We prove that every finite group which coincides with the product of any,MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Abstract-level theorem or coverage claim; routed to the complete main-proof dependency bundle.
UC-8dc9c55f0aaca91f,maximal,66,f13612f9f2dcf2f0377be15dff5a2152dbc00601134f616f766308d7654f7369,"two of its non-conjugate maximal subgroups is soluble, answering Problem",MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Abstract-level theorem or coverage claim; routed to the complete main-proof dependency bundle.
UC-5a3f1db18986c423,stable,71,f813e07cc43914429456b7d7ca965aa1a4c9c34b50e01be6e5aea19b8822d0fa,criterion: a single pair of automorphism-stable conjugacy classes of,MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Abstract-level theorem or coverage claim; routed to the complete main-proof dependency bundle.
UC-dc8096ab726e3656,all,73,00f033cdc3d52870b5a147d3a8b7d16ae7450af047c4de19ac69b1efd76f2622,excludes the socle $S^k$ for \emph{all} $k\geq2$ and every admissible,MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Abstract-level theorem or coverage claim; routed to the complete main-proof dependency bundle.
UC-e66dad367e87becb,every,73,00f033cdc3d52870b5a147d3a8b7d16ae7450af047c4de19ac69b1efd76f2622,excludes the socle $S^k$ for \emph{all} $k\geq2$ and every admissible,MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Abstract-level theorem or coverage claim; routed to the complete main-proof dependency bundle.
UC-0d1ce6605bed6242,every,74,a4544bc0138c94e41b7ec1646e1647862e233782ad189b45ac4ffbda8701d1b2,embedding at once. Such pairs are constructed uniformly for every,MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Abstract-level theorem or coverage claim; routed to the complete main-proof dependency bundle.
UC-673903372518d00e,all,76,5affa0120961496877f01ffe8047476313caea6681be1ff2240b2a24af026a2e,arithmetic obstruction; the sporadic groups and all remaining small cases,MATHEMATICAL-CLAIM,RED-MIN;SRC-REDUCTION-STRUCTURE;RED-COORD;RED-COORD-BOUND;K1-TT;SUP-EXIST;SUP-MAX;SUP-NONCONJ;DIV-GROUP;DIV-ARITH;CFSG-INVENTORY;CFSG-BOUNDARIES;ARITH-UNIVERSAL;COMP-FINITE-BASE;COMP-SPORADIC,Abstract-level theorem or coverage claim; routed to the complete main-proof dependency bundle.
