claim_id,manuscript_location,families,covered_family_ids,parameter_range,formula_obligation,manuscript_token,primary_source,pinpoint,independent_corroboration,status
ORD-ALT,Theorem 6.2,A_n,alternating,n>=15,"Orders of A_n, the intransitive stabilizers (S_m x S_{n-m}) cap A_n, and the imprimitive stabilizer (S_{n/2} wr S_2) cap A_n used in the p-valuation argument",For any two distinct classes among,LPS1987,"Theorem 1 and Tables I--II, pp. 366--368",The displayed subgroup definitions give the orders directly; |A_n|=n!/2,CITED-PASS
ORD-ALT-PRIME-INTERVAL,Theorem 6.2,A_n prime interval,alternating,n>=31,Nagura gives a prime p with x<p<6x/5 for every real x>=25; with x=5n/6 this gives 5n/6<p<n and hence p>=n/2+3 for n>=31,By Nagura's theorem,Nagura1952,"Theorem, pp. 180--181",Official J-STAGE PDF DOI 10.3792/pja/1195570997; finite n=15..30 endpoint list independently recomputed,CITED-PASS
ORD-PSL2-GROUP-OUTER,Theorem 6.1,"PSL(2,q)",psl2,q=p^f>=4,"|PSL(2,q)|=q(q^2-1)/gcd(2,q-1) and the diagonal/field outer-order divisor used for x","Recall $|S|=q(q^2-1)/e$ with $e=\gcd(2,q-1)$",ATLAS1985,"Section 2.1, p. x; Table 5, p. xvi","Carter1965, Section 10, pp. 220--221, and summary table, p. 239",CITED-PASS
ORD-PSL2-SUBGROUPS,Theorem 6.1,"PSL(2,q)",psl2,odd q>=13; even q>=8,Orders of the split/nonsplit torus normalizers and of the Borel subgroup,normalizers of the split and nonsplit maximal tori: dihedral of,BHRD2013,"Tables 8.1--8.2, p. 376; Table 8.7, p. 380","Dickson1901 and Huppert1967, II.8.27",CITED-PASS
ORD-CLASSICAL-GROUPS,Theorems 6.3--6.6,"PSL(n,q); PSU(n,q); PSp(2n,q); B_n(q); D_n(q); 2D_n(q)",psl_rank_ge3;psu3;psu_rank_ge4;symplectic;odd_orthogonal;plus_orthogonal;minus_orthogonal,all simple parameters used in the named theorem branches,All full simple-group order formulas and central divisors for the classical families,"which divides $|\SU(n,q)|=q^{n(n-1)/2}\prod_{i=2}^n(q^i-(-1)^i)$",ATLAS1985,"Sections 2.1--2.4, pp. x--xii","Carter1965, Section 10, pp. 220--221, and summary table, p. 239",CITED-PASS
ORD-EXCEPTIONAL-GROUPS,Theorems 6.3--6.6,G2; F4; E6; 2E6; E7; E8; 3D4; 2B2; 2G2; 2F4,suzuki;small_ree;triality;g2;f4;e6;twisted_e6;e7;e8;large_ree,all simple parameters used in the named theorem branches,All full simple-group order formulas and central divisors for exceptional and exceptional-twisted families,$|{}^3D_4(q)|=q^{12}(q^8+q^4+1)(q^6-1)(q^2-1)$,ATLAS1985,"Table 6, p. xvi","Carter1965, summary table, p. 239",CITED-PASS
ORD-LIE-OUTER,Theorems 6.1 and 6.3--6.6,all Lie-type families,psl2;psl_rank_ge3;psu3;psu_rank_ge4;symplectic;odd_orthogonal;plus_orthogonal;minus_orthogonal;suzuki;small_ree;triality;g2;f4;e6;twisted_e6;e7;e8;large_ree,all simple parameters used in the named theorem branches,"Diagonal, field, and graph factor orders behind every displayed divisor bound for x=|X/Inn(S)|",In every case $x$ divides $d_S\cdot c f$,ATLAS1985,"Table 5, p. xvi","Broto--Moller--Oliver 2019, Definition 3.3 and Theorem 3.4, p. 32",CITED-PASS
ORD-PARABOLIC-LEVI-GENERAL,Theorems 6.3--6.6,all parabolic branches,psl_rank_ge3;psu3;psu_rank_ge4;symplectic;odd_orthogonal;plus_orthogonal;minus_orthogonal;suzuki;small_ree;triality;g2;f4;e6;twisted_e6;e7;e8;large_ree,"rank at least two, including twisted node-orbits",A parabolic is a defining-characteristic unipotent group extended by the Levi group from the complementary subdiagram; its p-prime order is obtained from the corresponding Lie-type order formulas and central torus factors,$|P_i|=q^{N_i}|L_i|,ATLAS1985,"Section 3.6, p. xv","Carter1972, Section 8.5, pp. 118--120",CITED-PASS
ORD-NOGRAPH-LEVIS,Theorem 6.3,B_n; C_n; G2; F4; E7; E8,symplectic;odd_orthogonal;g2;f4;e7;e8,ranges in Theorem 6.3,"The listed proper-Levi types and their largest cyclotomic exponents are respectively below 2n, 6, 12, 18, and 30",$B_n/C_n$: Levi types,Carter1972,"Section 8.5, pp. 118--120","ATLAS1985, Table 3, p. xiv; Tables 6--7, p. xvi",CITED-PASS
ORD-PSU-LEVIS,Theorem 6.4,"PSU(n,q)",psu_rank_ge4,n>=4,"The P_1 and P_2 Levi factors have GL_i(q^2) and GU(n-2i,q) factors and exactly the displayed p-prime factor bounds","The Levi factor of $P_i$ ($i=1,2$) is a central product",ATLAS1985,"Section 2.2, p. x; Table 4 and Section 3.6, p. xv; Table 6, p. xvi","Carter1972, Section 8.5, pp. 118--120",CITED-PASS
ORD-2D-LEVIS,Theorem 6.4,2D_n(q),minus_orthogonal,n>=4,"The P_1 and P_2 Levi factors have GL_i(q) and O^-(2(n-i),q) factors and the displayed exponent bound","Levi of $P_i$: $\GL_i(q)\times O^-(2(n-i),q)$-type",ATLAS1985,"Section 2.4, p. xii; Table 4 and Section 3.6, p. xv; Table 6, p. xvi","Carter1972, Section 8.5, pp. 118--120",CITED-PASS
ORD-3D4-LEVIS,Theorem 6.4,3D4(q),triality,all q,The two maximal-parabolic Levi factors and their p-prime order divisors are SL_2(q^3).(q-1) and SL_2(q).(q^3-1),The two Levi factors are $\SL_2(q^3)\cdot(q-1)$,ATLAS1985,"Table 4 and Section 3.6, p. xv; Table 6, p. xvi","Carter1972, Section 8.5, pp. 118--120",CITED-PASS
ORD-2E6-LEVIS,Theorem 6.4,2E6(q),twisted_e6,all q,"The four maximal-parabolic Levi derived groups are 2A5(q), 2D4(q), A1(q) x A2(q^2), and A1(q^2) x A2(q), with maximum exponents 10f, 8f, 6f, and 4f",This diagram derivation agrees with the published list,Montinaro2024,"Lemma 6.8 proof, journal p. 82",Independent E6 graph-orbit derivation in verify_lie_sources.py,CITED-PASS
ORD-2F4-LEVIS,Theorem 6.4,2F4(q),large_ree,q=2^f with odd f>=3,"The two maximal parabolics have Levi complements (q-1) x 2B2(q) and GL2(q), giving the displayed p-prime order divisors",The two Levi derived groups are ${}^2B_2(q)\cong\Sz(q)$ and $\SL_2(q)$,Wilson2009,"Theorem 4.5(i)--(ii), p. 166","Malle1991, Main Theorem, pp. 52--53",CITED-PASS
ORD-PSU3-SUBGROUPS,Theorem 6.5,"PSU(3,q)",psu3,q>=8,"Orders of PSU(3,q), its Borel, and its nonisotropic-point stabilizer",$|S|=q^3(q^3+1)(q^2-1)/d$,BHRD2013,"Table 8.5, p. 379","ATLAS1985, Section 2.2, p. x; Table 6, p. xvi",CITED-PASS
ORD-SUZUKI-SUBGROUPS,Theorem 6.5,2B2(q),suzuki,q=2^f with odd f>=3,"Orders of the Suzuki group, its Borel, and the split-torus normalizer D_{2(q-1)}",$|S|=q^2(q^2+1)(q-1)$,BHRD2013,"Theorem 7.3.5, p. 367; Table 8.16, p. 384","Suzuki1962; ATLAS1985, Table 6, p. xvi",CITED-PASS
