invocation_id,manuscript_location,family_branch,base,exponent,parameter_range,minimum_exponent,manuscript_token,exception_equation,exception_ids,resolution,primary_source,pinpoint,pdf_sha256,independent_source,independent_pinpoint,independent_pdf_sha256,status
ZIG-PSL2-EVEN,Appendix A.1 (Theorem thm:psl2) Case B,"PSL(2,2^f)",2,2f,f>=3,6,"If $f\neq3$, take $r$ a primitive prime divisor of $2^{2f}-1$",2f=6,Z-PSL2-8,At f=3 use r=3; the finite certificate is redundant corroboration.,Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-BC-HIGHRANK,Appendix A.2 (Theorem thm:nograph),"B_n(q), C_n(q) with n>=3",p,2nf,n>=3; B_n has p odd; C_n arbitrary,6,"For $B_n$ and $C_n$, the Levi types are respectively","p=2, n=3, f=1",Z-SP6-2,"The only positive-base exception is Sp(6,2), routed to the finite base.",Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-C2-ODD,Appendix A.2 (Theorem thm:nograph),"C_2(q), q odd",p,4f,p odd; f>=1,4,$h=2n$ for $B_n/C_n$,,,"The base is odd, so the (2,6) exception is impossible.",Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-G2-NOGRAPH,Appendix A.2 (Theorem thm:nograph),"G_2(q), p!=3",p,6f,p!=3; simple group,6,$G_2$ has Levis,"p=2, f=1",SIMP-G2-2,G_2(2) is not simple and its derived group is routed separately.,Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-F4-NOGRAPH,Appendix A.2 (Theorem thm:nograph),"F_4(q), p!=2",p,12f,p!=2; f>=1,12,"$F_4$: Levis $B_3,C_3,A_2{\times}A_1$",,,No exception in the stated parameter range.,Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-E7,Appendix A.2 (Theorem thm:nograph),E_7(q),p,18f,f>=1,18,"$E_7$: Levis $E_6,D_6,A_6",,,No exception in the stated parameter range.,Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-E8,Appendix A.2 (Theorem thm:nograph),E_8(q),p,30f,f>=1,30,"$E_8$: Levis $E_7,D_7,A_7$",,,No exception in the stated parameter range.,Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-PSU-ODD,Appendix A.3 (Theorem thm:twisted2),"PSU(n,q), n odd",p,2nf,odd n>=5; f>=1,10,"$\PSU(n,q)$, $n$ odd: $e=2nf$",,,No exception in the stated parameter range.,Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-PSU-EVEN,Appendix A.3 (Theorem thm:twisted2),"PSU(n,q), n even",p,2(n-1)f,even n>=4; f>=1,6,"$\PSU(n,q)$, $n$ even: $e=2(n-1)f$","p=2, n=4, f=1",Z-PSU4-2,"PSU(4,2) is routed to an exact finite certificate.",Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-2DN,Appendix A.3 (Theorem thm:twisted2),^2D_n(q),p,2nf,n>=4; f>=1,8,"${}^2D_n(q)$, $n\geq4$: $e=2nf$",,,No exception in the stated parameter range.,Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-3D4,Appendix A.3 (Theorem thm:twisted2),^3D_4(q),p,12f,f>=1,12,${}^3D_4(q)$: $e=12f$,,,No exception in the stated parameter range.,Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-2E6,Appendix A.3 (Theorem thm:twisted2),^2E_6(q),p,18f,f>=1,18,${}^2E_6(q)$: $e=18f$,,,No exception in the stated parameter range.,Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-2F4,Appendix A.3 (Theorem thm:twisted2),^2F_4(2^f),2,12f,odd f>=3,36,"${}^2F_4(q)$, $f$ odd $\geq3$: $e=12f$",,,No exception in the stated parameter range.,Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-PSU3,Appendix A.4 (Theorem thm:twisted1),"PSU(3,q)",p,6f,q>=8 in the uniform branch,6,Take $r$ a primitive prime divisor of $p^{6f}-1$,"p=2, f=1",SIMP-PSU3-2,"The exceptional equation gives q=2, outside the simple/uniform range.",Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-SUZUKI,Appendix A.4 (Theorem thm:twisted1),^2B_2(2^f),2,4f,odd f>=3,12,Let $r$ be a primitive prime divisor of $2^{4f}-1$. Such a prime exists because $4f\geq12$,,,No exception in the stated parameter range.,Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-SMALL-REE,Appendix A.4 (Theorem thm:twisted1),^2G_2(3^f),3,6f,odd f>=3,18,primitive prime divisor of $3^{6f}-1$. Such a prime exists because $6f\geq18$,,,No exception in the stated parameter range.,Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-PSLN-TRIVIAL,Appendix A.5 (Theorem thm:graph) Case A,"PSL(n,q), trivial graph part",p,nf,n>=3; f>=1,3,"$\PSL(n,q)$: pair $([P_1],[P_2])$, $r$ a primitive prime divisor","p=2, nf=6",Z-PSL3-4;Z-PSL6-2,"PSL(3,4) is finite-certified; PSL(6,2) uses substitute r=31.",Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-DPLUS-ALL,Appendix A.5 (Theorem thm:graph) Cases A/B3,"D_n(q), all graph parts",p,2(n-1)f,n>=4; f>=1,6,"$D_n(q)$, $n\geq4$: pair $([P_1],[P_2])$","p=2, n=4, f=1",Z-D4-2,"Omega^+(8,2) uses substitute r=5 in both graph routes.",Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-SP4-TRIVIAL,Appendix A.5 (Theorem thm:graph) Case A,"Sp(4,2^f), trivial graph part",2,4f,f>=2,8,"Take the pair $([P_1],[P_2])$, and let $r$ be a primitive prime divisor of $2^{4f}-1$",,,No exception in the stated parameter range.,Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-F4-TRIVIAL,Appendix A.5 (Theorem thm:graph) Case A,"F_4(2^f), trivial graph part",2,12f,f>=1,12,"Take the pair $([P_1],[P_2])$, and let $r$ be a primitive prime divisor of $2^{12f}-1$",,,No exception in the stated parameter range.,Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-G2-TRIVIAL,Appendix A.5 (Theorem thm:graph) Case A,"G_2(3^f), trivial graph part",3,6f,f>=1,6,"Take the pair $([P_1],[P_2])$, and let $r$ be a primitive prime divisor of $3^{6f}-1$",,,No exception in the stated parameter range.,Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-PSL3-GRAPH,Appendix A.5 (Theorem thm:graph) B1,"PSL(3,q), graph part",p,3f,q>=5,3,Let $r$ be a primitive prime divisor of $p^{3f}-1$,"p=2, f=2",Z-PSL3-4,"PSL(3,4) lies in the explicitly routed machine range.",Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-PSL4-GRAPH,Section 5.2 (Proposition prop:psl-flag),"PSL(4,q), graph part",p,4f,f>=1,4,"If $n=4$, let $r$ be a primitive prime divisor of $p^{4f}-1$",,,No exception in the stated parameter range.,Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-PSLN-GRAPH,Section 5.2 (Proposition prop:psl-flag),"PSL(n,q), graph part",p,nf,n>=5; f>=1,5,"If $n\geq5$, let $r$ be a primitive prime divisor of $p^{nf}-1$","p=2, n=6, f=1",Z-PSL6-2,"PSL(6,2) uses substitute r=31.",Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-D4-TRIALITY,Appendix A.5 (Theorem thm:graph) B3,"D_4(q), triality graph part",p,6f,f>=1,6,Let $r$ be a primitive prime divisor of $p^{6f}-1$. It avoids both classes,"p=2, f=1",Z-D4-2,"Omega^+(8,2) uses substitute r=5.",Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-E6,Appendix A.5 (Theorem thm:graph) B4,"E_6(q), all graph parts",p,12f,f>=1,12,Let $r$ be a primitive prime divisor of $p^{12f}-1$,,,No exception in the stated parameter range.,Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-SP4-GRAPH-ODD,Appendix A.5 (Theorem thm:graph) B5,"Sp(4,2^f), nontrivial graph part, f odd",2,2f,odd f>=3,6,"Case $f$ odd, $2f\neq6$.} Let $r$ be a primitive prime divisor of $2^{2f}-1$",f=3,Z-SP4-8,At q=8 use substitute r=3 with exact valuation gap.,Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-SP4-GRAPH-EVEN,Appendix A.5 (Theorem thm:graph) B5,"Sp(4,2^f), nontrivial graph part, f even",2,4f,even f>=2,8,Case $f$ even.} Let $r$ be a primitive prime divisor of $2^{4f}-1$,,,No exception in the stated parameter range.,Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-F4-GRAPH,Appendix A.5 (Theorem thm:graph) B6,"F_4(2^f), nontrivial graph part",2,12f,f>=1,12,Let $r$ be a primitive prime divisor of $2^{12f}-1$. It avoids both,,,No exception in the stated parameter range.,Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-G2-GRAPH-ODD,Appendix A.5 (Theorem thm:graph) B7,"G_2(3^f), nontrivial graph part, f odd",3,3f,odd f>=1,3,Case $f$ odd.} Let $r$ be a primitive prime divisor of $3^{3f}-1$,,,No exception in the stated parameter range.,Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
ZIG-G2-GRAPH-EVEN,Appendix A.5 (Theorem thm:graph) B7,"G_2(3^f), nontrivial graph part, f even",3,6f,even f>=2,12,Case $f$ even.} Let $r$ be a primitive prime divisor of $3^{6f}-1$,,,No exception in the stated parameter range.,Zsigmondy1892,"specialized theorem, journal p. 283",45b2aea11e6e92711ab9b744b368dcb8ae0e84e69e5267c8515f61072faa9132,Jones2007,"Theorem 2.2, journal p. 2",8f03df2a69b7af5e47a1d27582519bcb2dba980b1e2c3dcc44b4050d881cceac,CITED-PASS
