claim_id,manifest_scope,covered_family_ids,boundary_claim,exception_ids,primary_source,pinpoint,independent_source,independent_pinpoint,status
BND-CFSG-PARAMETERS,CLASSIFICATION-MANIFEST all family parameter rows,alternating;psl2;psl_rank_ge3;psu3;psu_rank_ge4;symplectic;odd_orthogonal;plus_orthogonal;minus_orthogonal;suzuki;small_ree;triality;g2;f4;e6;twisted_e6;e7;e8;large_ree;tits;sporadic,Complete family list and the displayed standard simple parameter ranges,,GLS1,"Chapter 1, Table I, pp. 8--10",ATLAS1985,"Sections 2--3, pp. xi--xvi",CITED-PASS
BND-PSL2,"PSL(2,q) lower boundary",psl2,"PSL(2,2) and PSL(2,3) are not nonabelian simple",SIMP-PSL2-2-3,GLS3,Theorem 2.2.7(a),ATLAS1985,"Section 3.5, p. xv",CITED-PASS
BND-PSU3,"PSU(3,q) lower boundary",psu3,"PSU(3,2) is not nonabelian simple",SIMP-PSU3-2,GLS3,Theorem 2.2.7(a),ATLAS1985,"Section 3.5, p. xv",CITED-PASS
BND-PSU4-2,"PSU(4,2) finite-certificate alias",psu_rank_ge4,"PSU(4,2) is isomorphic to PSp(4,3), the simple group certified under the Sp43/O(5,3) alias",ISO-PSU4-2,CameronClassicalGroups,"Theorem 5.3, p. 61",ATLASWeb,U4(2) page: natural characteristic-3 representation as Sp4(3),CITED-PASS
BND-SP4,"Sp(4,2) boundary",symplectic,"Sp(4,2) is S6 and its derived subgroup is A6",SIMP-SP4-2,ATLAS1985,"Section 2.4, p. xii; A6 entry, pp. 4--5",GLS3,Theorem 2.2.7(a),CITED-PASS
BND-G2,G2(2) boundary,g2,"G2(2) is U3(3):2 and its derived subgroup is PSU(3,3)",SIMP-G2-2,ATLAS1985,"Section 3.5, p. xv; U3(3) entry, pp. 14--15",GLS3,Theorem 2.2.7(a),CITED-PASS
BND-REE3,^2G2(3) boundary,small_ree,"^2G2(3) is PSL(2,8):3 and its derived subgroup is PSL(2,8)",SIMP-REE3,ATLAS1985,"Section 3.5, p. xv; PSL(2,8) entry, p. 6",GLS3,Theorem 2.2.7(a),CITED-PASS
BND-TITS,^2F4(2) boundary,large_ree;tits,"^2F4(2) has simple derived subgroup of index two, the Tits group",SIMP-2F4-2,ATLAS1985,"Section 3.5, p. xv; Tits entry, pp. 74--75",GLS3,Theorem 2.2.7(a),CITED-PASS
BND-BC-EVEN,B_n/C_n even-characteristic identification,odd_orthogonal;symplectic,"B_n(2^f) is C_n(2^f), equivalently Omega(2n+1,2^f) is Sp(2n,2^f)",ISO-BC-EVEN,ATLAS1985,"Section 2.4, pp. xi--xii; Section 3.1, p. xiv",GLS1,"Chapter 1, Table I, pp. 8--10",CITED-PASS
BND-2D-LOW,twisted orthogonal low ranks,minus_orthogonal,"^2D_2(q) is PSL(2,q^2), while ^2D_3(q) is PSU(4,q)",ISO-2D-LOWRANK,ATLAS1985,"Section 2.4, p. xii; Section 3.2, p. xiv",GLS1,"Chapter 1, Table I, pp. 8--10",CITED-PASS
BND-PSL3-2,PSL rank-three exceptional isomorphism note,psl_rank_ge3,"PSL(3,2) is simple and isomorphic to PSL(2,7); it is not a simplicity exclusion",,ATLAS1985,"Section 3.5, p. xv; PSL(3,2) entry, p. 3",GLS1,"Chapter 1, Table I, pp. 8--10",CITED-PASS
BND-SUZUKI-2,Suzuki first parameter,suzuki,"^2B2(2) is the Frobenius group 5:4, while the simple Suzuki series starts at odd f=3",,GLS3,Theorem 2.2.7(a),ATLAS1985,"Section 3.5, p. xv",CITED-PASS
